lat,lon,elevacao_m
-23.1650431,-46.3966156,
-22.7525855,-46.6101319,
-23.0813728,-46.4191113,
-23.4686795,-47.762265,
-23.0857977,-46.4164235,
-23.0774031,-46.4240146,
-23.1939325,-48.2546431,
-22.1744375,-50.0705794,
-23.1819721,-46.4061799,
-22.746811,-46.5561858,
-22.7360457,-46.5948478,
-22.797588,-46.5575862,
-23.0576777,-46.3666989,
-22.7917592,-48.13353,
-23.0585609,-46.3840962,
-23.0929954,-48.9055129,
-22.8507561,-49.2329107,
-23.0464036,-46.3494644,
-22.8524673,-49.2329917,
-23.1937441,-48.2554517,
-23.1710566,-46.4186146,
-23.0817018,-46.431203,
-22.9384523,-46.2316664,
-23.2390805,-47.9614329,
-23.1733259,-46.4467513,
-22.5686839,-46.5223331,
-23.453393,-47.716732,
-22.9413535,-46.4470692,
-23.1821926,-46.409341,
-23.0914724,-46.413553,
-23.2043035,-48.9942157,
-23.2236055,-48.9688635,
-22.9198599,-47.9082566,
-22.5663442,-46.5311754,
-23.1618468,-46.4072803,
-23.138216,-49.0515639,
-23.2592317,-46.4715788,
-23.4620459,-47.688976,
-21.9473488,-50.5204426,
-22.761808,-46.5685806,
-23.0362909,-47.8972326,
-22.6257182,-46.5291975,
-22.7599011,-46.5734486,
-23.0874126,-46.4376501,
-23.2418112,-47.9624606,
-19.9232308,-50.0667921,
-20.2754503,-50.5666209,
-23.4244214,-47.7129253,
-22.561526,-46.5294399,
-23.4856935,-47.7286176,
-23.0975639,-46.4324292,
-23.0389474,-47.8985487,
-23.1263369,-49.4461036,
-22.4304612,-49.517079,
-22.7633684,-46.5815753,
-23.1754003,-46.3781836,
-23.1824841,-46.3684512,
-20.2996906,-50.1992294,
-23.1643726,-46.3872218,
-23.1744186,-46.3795118,
-23.2507196,-48.9906487,
-23.096379,-46.4306872,
-23.6361053,-47.8190274,
-22.7459783,-46.563112,
-22.8483449,-49.2302151,
-23.1808587,-49.0090438,
-23.2112329,-48.9760072,
-22.6248539,-46.5270707,
